ID,Organization,RoadwayName,DirectionOfTravel,Description,Reported,LastUpdated,StartDate,PlannedEndDate,LanesAffected,Latitude,Longitude,LatitudeSecondary,LongitudeSecondary,EventType,EventSubType,IsFullClosure,Severity,EncodedPolyline,Width,Height,Length,Weight,Speed,DetourPolyline,DetourInstructions,Recurrence,RecurrenceSchedules,Details,LaneCount,near_tmc
407101,ERS,I-10,west,Left lanes closed on I-10 Westbound from SR-143 Northbound (MP 154)  to  40th St (MP 152) . 2 Left Lanes Closed.   6/12/2025 8:00 PM  to 6/13/2025 4:00 AM  ,1749783600,1749069103,1749783600,1749812400.0,2 Left Lanes Closed,33.4071198215334,-111.970047791644,33.4110349610881,-111.997790039035,roadwork,leftlanes,0,Minor,oy{jExcljTYVoApAg@j@mA|Ae@p@c@p@q@pAQ^iAjBw@dBc@hAs@tBWz@k@xBYpAYbBOdAObAOlAI~@OvBC^GlACt@CvBAzAAbACzJ?h@D`H?|D@jC?pC@jC@xAB`B?fM@`Z?nEDpL,,,,,,,,"""<b>Thu:</b><br/>8:00 PM - 12:00 AM<br/><br/><b>Fri:</b><br/>12:00 AM - 4:00 AM<br/><br/>""","[{""StartDate"": ""6/12/2025 8:00:00 PM-07:00:00"", ""EndDate"": ""6/13/2025 4:00:00 AM-07:00:00"", ""Times"": [{""StartTime"": ""20:00:00-07:00:00"", ""EndTime"": ""23:59:59-07:00:00""}], ""DaysOfWeek"": [""Thursday""]}, {""StartDate"": ""6/12/2025 8:00:00 PM-07:00:00"", ""EndDate"": ""6/13/2025 4:00:00 AM-07:00:00"", ""Times"": [{""StartTime"": ""00:00:00-07:00:00"", ""EndTime"": ""03:59:59-07:00:00""}], ""DaysOfWeek"": [""Friday""]}]",,8.0,115P04184
407753,ERS,I-10 Westbound,west,HOV ramp closed on  ramp  from I-10 Westbound  to  SR-143 Northbound . All HOV Lanes Closed.   6/12/2025 8:00 PM  to 6/13/2025 4:00 AM  ,1749783600,1749160239,1749783600,1749812400.0,All HOV Lanes Closed,33.4067600000001,-111.96971,33.4106397162038,-111.974524893464,closures,hovrampclosed,1,Major,gw{jEtaljTcAj@w@f@i@^k@f@_@^QR_AjAk@x@Yb@a@r@GJU^}@`BaAfBuAbCqAzBcA~Am@~@s@dAQXi@z@KNaAzAa@j@]j@a@h@c@d@c@b@m@d@c@Ri@Tq@No@Jo@Fu@BO@_@@aBF,,,,,,,,"""<b>Thu:</b><br/>8:00 PM - 12:00 AM<br/><br/><b>Fri:</b><br/>12:00 AM - 4:00 AM<br/><br/>""","[{""StartDate"": ""6/12/2025 8:00:00 PM-07:00:00"", ""EndDate"": ""6/13/2025 4:00:00 AM-07:00:00"", ""Times"": [{""StartTime"": ""20:00:00-07:00:00"", ""EndTime"": ""23:59:59-07:00:00""}], ""DaysOfWeek"": [""Thursday""]}, {""StartDate"": ""6/12/2025 8:00:00 PM-07:00:00"", ""EndDate"": ""6/13/2025 4:00:00 AM-07:00:00"", ""Times"": [{""StartTime"": ""00:00:00-07:00:00"", ""EndTime"": ""03:59:59-07:00:00""}], ""DaysOfWeek"": [""Friday""]}]",,1.0,115P04184
410039,ERS,I-10 Westbound,west,Exit ramp restricted on  ramp  from I-10 Westbound  to  S 40th St . 1 Right Ramp Closed.   6/12/2025 8:00 PM  to 6/13/2025 4:00 AM  ,1749783600,1749577910,1749783600,1749812400.0,1 Right Ramp Closed,33.4110700000001,-111.99025,33.4113719652333,-111.992867814089,roadwork,exitrestricted,0,Minor,er|jE`bpjTQdAIr@GhBGlBCn@S|EGpAOjC?nA?\AdA?f@,,,,,,,,"""<b>Thu:</b><br/>8:00 PM - 12:00 AM<br/><br/><b>Fri:</b><br/>12:00 AM - 4:00 AM<br/><br/>""","[{""StartDate"": ""6/12/2025 8:00:00 PM-07:00:00"", ""EndDate"": ""6/13/2025 4:00:00 AM-07:00:00"", ""Times"": [{""StartTime"": ""20:00:00-07:00:00"", ""EndTime"": ""23:59:59-07:00:00""}], ""DaysOfWeek"": [""Thursday""]}, {""StartDate"": ""6/12/2025 8:00:00 PM-07:00:00"", ""EndDate"": ""6/13/2025 4:00:00 AM-07:00:00"", ""Times"": [{""StartTime"": ""00:00:00-07:00:00"", ""EndTime"": ""03:59:59-07:00:00""}], ""DaysOfWeek"": [""Friday""]}]",,2.0,115P04185
410040,ERS,I-10 Westbound,west,Exit ramp restricted on  ramp  from I-10 Westbound  to  S 40th St . 1 Right Ramp Closed.   6/13/2025 8:00 PM  to 6/14/2025 4:00 AM  ,1749870000,1749578009,1749870000,1749898800.0,1 Right Ramp Closed,33.4110700000001,-111.99025,33.4113719652333,-111.992867814089,roadwork,exitrestricted,0,Minor,er|jE`bpjTQdAIr@GhBGlBCn@S|EGpAOjC?nA?\AdA?f@,,,,,,,,"""<b>Fri:</b><br/>8:00 PM - 12:00 AM<br/><br/><b>Sat:</b><br/>12:00 AM - 4:00 AM<br/><br/>""","[{""StartDate"": ""6/13/2025 8:00:00 PM-07:00:00"", ""EndDate"": ""6/14/2025 4:00:00 AM-07:00:00"", ""Times"": [{""StartTime"": ""20:00:00-07:00:00"", ""EndTime"": ""23:59:59-07:00:00""}], ""DaysOfWeek"": [""Friday""]}, {""StartDate"": ""6/13/2025 8:00:00 PM-07:00:00"", ""EndDate"": ""6/14/2025 4:00:00 AM-07:00:00"", ""Times"": [{""StartTime"": ""00:00:00-07:00:00"", ""EndTime"": ""03:59:59-07:00:00""}], ""DaysOfWeek"": [""Saturday""]}]",,2.0,115P04185
428704,ERS,I-10,east,Disabled vehicle on the left shoulder on I-10 Eastbound  near   S 40th St (MP 152)   ,1749824220,1749824298,1749824220,,No Data,33.4107913445965,-111.995027134887,,,accidentsAndIncidents,C34Lshoulder,0,None,,,,,,,,,,,,1.0,115N04185
428680,ERS,I-10,west,Disabled vehicle on the right shoulder on I-10 Westbound  near   Elliot Rd (MP 158)   ,1749821460,1749821539,1749821460,,No Data,33.3457896889813,-111.972038380042,,,accidentsAndIncidents,C34Rshoulder,0,None,,,,,,,,,,,,1.0,115P04180
428802,ERS,I-10,west,Disabled vehicle on the right shoulder on I-10 Westbound  near   Elliot Rd (MP 158)   ,1749835200,1749835332,1749835200,,No Data,33.3457896889813,-111.972038380042,,,accidentsAndIncidents,C34Rshoulder,0,None,,,,,,,,,,,,1.0,115P04180
428685,ERS,I-10,east,Disabled vehicle on the exit ramp on I-10 Eastbound  near   E Warner Rd (MP 159)   ,1749821880,1749821962,1749821880,,No Data,33.331200150968,-111.972342330238,,,accidentsAndIncidents,C34exit,0,None,,,,,,,,,,,,1.0,115N04179
428868,ERS,I-10,west,Crash on the right shoulder on I-10 Westbound  near   24th St (MP 150)   ,1749844140,1749844698,1749844140,,No Data,33.4254892033632,-112.025898254986,,,accidentsAndIncidents,Crash on right shoulder,0,Minor,,,,,,,,,,,,1.0,115P04187
429042,ERS,I-10,east,Disabled vehicle on the right shoulder on I-10 Eastbound  near   Elliot Rd (MP 157)   ,1749860760,1749861143,1749860760,,No Data,33.3606895543767,-111.969555883289,,,accidentsAndIncidents,C34Rshoulder,0,None,,,,,,,,,,,,1.0,115-04180
429576,ERS,I-10,west,Disabled vehicle on the exit ramp on I-10 Westbound  near   W Baseline Rd (MP 155)   ,1749997800,1749997819,1749997800,,No Data,33.387344,-111.96757,,,accidentsAndIncidents,C34exit,0,None,,,,,,,,,,,,1.0,115P04182
429583,ERS,I-10,west,Disabled vehicle on the exit ramp on I-10 Westbound  near   E University Dr (MP 151)   ,1750000200,1750000272,1750000200,,No Data,33.4135714204425,-112.013036417281,,,accidentsAndIncidents,C34exit,0,None,,,,,,,,,,,,1.0,115P04186
429587,ERS,I-10,east,Debris blocking the right lanes on I-10 Eastbound  near   S 40th St (MP 153)   ,1750001580,1750001663,1750001580,,No Data,33.4108040647673,-111.993297191653,,,accidentsAndIncidents,TDEBRISRM,0,Minor,,,,,,,,,,,,1.0,115N04185
429641,ERS,I-10,east,Debris blocking the on ramp on I-10 Eastbound  near   E Warner Rd (MP 159)   ,1750013760,1750013786,1750013760,,No Data,33.3327901296008,-111.972346492486,,,accidentsAndIncidents,TDEBRISONB,0,Minor,,,,,,,,,,,,1.0,115N04179
429566,ERS,I-10,east,Debris on the right shoulder on I-10 Eastbound  near   E Chandler Blvd (MP 161)   ,1749993960,1749994761,1749993960,,No Data,33.297836,-111.97249,,,accidentsAndIncidents,DebrisRshoulder,0,None,,,,,,,,,,,,1.0,115N05165
430087,ERS,I-10,east,Disabled vehicle on the right shoulder on I-10 Eastbound  near   S 24th St (MP 150)   ,1750097400,1750097477,1750097400,,No Data,33.4262193923079,-112.028764438462,,,accidentsAndIncidents,C34Rshoulder,0,None,,,,,,,,,,,,1.0,115N04187
430157,ERS,I-10,west,Disabled vehicle on the right shoulder on I-10 Westbound  near   24th St (MP 150)   ,1750105860,1750105935,1750105860,,No Data,33.4254892033632,-112.025898254986,,,accidentsAndIncidents,C34Rshoulder,0,None,,,,,,,,,,,,1.0,115P04187
430188,ERS,I-10,west,Debris on the right shoulder on I-10 Westbound  near   Broadway Rd (MP 154)   ,1750109340,1750110262,1750109340,,No Data,33.4047218133209,-111.96830162758,,,accidentsAndIncidents,DebrisRshoulder,0,None,,,,,,,,,,,,1.0,115P04183
430276,ERS,I-10,west,Disabled vehicle on the right shoulder on I-10 Westbound  near   Hohokam Expy (MP 153)   ,1750116960,1750117037,1750116960,,No Data,33.41112,-111.984338,,,accidentsAndIncidents,C34Rshoulder,0,None,,,,,,,,,,,,1.0,115+04185
430280,ERS,I-10,east,Disabled vehicle on the right shoulder on I-10 Eastbound  near   S 48th St (MP 154)   ,1750117560,1750117643,1750117560,,No Data,33.4044988,-111.9685644,,,accidentsAndIncidents,C34Rshoulder,0,None,,,,,,,,,,,,1.0,115-04182
430314,ERS,I-10,east,Debris blocking the center lanes on I-10 Eastbound  near   Elliot Rd (MP 158)   ,1750121160,1750121242,1750121160,,No Data,33.3492770115606,-111.972025075145,,,accidentsAndIncidents,TDEBRISCM,0,Minor,,,,,,,,,,,,1.0,115N04180
430321,ERS,I-10,east,Traffic signal timing issue or timing adjusted  on I-10 Eastbound  near   E Warner Rd (MP 159)   ,1750121880,1750121954,1750121880,,No Data,33.3327901296008,-111.972346492486,,,accidentsAndIncidents,signaltiming,0,None,,,,,,,,,,,,1.0,115N04179
430231,ERS,I-10,west,Debris blocking the left lanes on I-10 Westbound  near   SR-143 Northbound (MP 154)   ,1750111320,1750111456,1750111320,,No Data,33.4071844460926,-111.970108459597,,,accidentsAndIncidents,TDEBRISLM,0,Minor,,,,,,,,,,,,1.0,115P04184
