tmc,start_latitude,start_longitude,end_latitude,end_longitude,miles,road,direction,intersection
115+04177,33.29989,-111.97189,33.30203,-111.97195,0.147902,I-10,WESTBOUND,CHANDLER BLVD/EXIT 160
115+04178,33.31028,-111.97207,33.315245000000004,-111.972105,0.3430605,I-10,WESTBOUND,RAY RD/EXIT 159
115+04179,33.3239,-111.97209,33.33027,-111.97208,0.440133,I-10,WESTBOUND,WARNER RD/EXIT 158
115+04180,33.34022,-111.97208,33.34452,-111.97209,0.297126,I-10,WESTBOUND,ELLIOT RD/EXIT 157
115+04181,33.35384,-111.97098,33.372654999999995,-111.967845,1.3155506,I-10,WESTBOUND,BASELINE RD/EXIT 155
115+04182,33.38233,-111.96772,33.38471,-111.96766,0.1644795,I-10,WESTBOUND,US-60/EXIT 154
115+04183,33.397,-111.96732,33.40358,-111.9678,0.4576585,I-10,WESTBOUND,BROADWAY RD/52ND ST/EXIT 153B
115+04184,33.40625,-111.96930499999999,33.406435,-111.969465,0.0157985,I-10,WESTBOUND,AZ-143/48TH ST/EXIT 153
115+04185,33.411114999999995,-111.984125,33.411045,-111.98933500000001,0.3005785,I-10,WESTBOUND,40TH ST/EXIT 152
115+04186,33.41096,-112.00267,33.41096,-112.00505000000001,0.13730201,I-10,WESTBOUND,UNIVERSITY DR/EXIT 151
115+04187,33.41478,-112.0144,33.42484,-112.02462,0.9176895,I-10,WESTBOUND,24TH ST/EXIT 150B
115+04188,33.42623,-112.02778,33.42664,-112.02936,0.095516,I-10,WESTBOUND,I-17/EXIT 150
115-04177,33.31491,-111.97241,33.31095,-111.97239,0.2736985,I-10,EASTBOUND,CHANDLER BLVD/EXIT 160
115-04178,33.32936,-111.97234,33.32559,-111.97237,0.2604905,I-10,EASTBOUND,RAY RD/EXIT 159
115-04179,33.34415,-111.97237,33.33835,-111.97235,0.400745,I-10,EASTBOUND,WARNER RD/EXIT 158
115-04180,33.372835,-111.96813,33.35328,-111.97135,1.3668826,I-10,EASTBOUND,ELLIOT RD/EXIT 157
115-04181,33.38502,-111.96795,33.38236,-111.96802,0.183833,I-10,EASTBOUND,BASELINE RD/EXIT 155
115-04182,33.40509,-111.96889,33.396225,-111.96769,0.623945,I-10,EASTBOUND,US-60/EXIT 154
115-04183,33.40747,-111.97083,33.40682,-111.97017,0.058875,I-10,EASTBOUND,BROADWAY RD/52ND ST/EXIT 153B
115-04184,33.41082,-111.990825,33.410844999999995,-111.98482000000001,0.346351,I-10,EASTBOUND,AZ-143/48TH ST/EXIT 153
115-04185,33.4107,-112.00508,33.41073,-112.001385,0.2131315,I-10,EASTBOUND,40TH ST/EXIT 152
