feature,importance,group
hour_sin,0.024211137165378118,cyc
hour_cos,0.03467146757255794,cyc
dow_sin,0.024297375775069945,cyc
dow_cos,0.14671017557479835,cyc
hour_of_week_sin,0.021035721995734915,cyc
hour_of_week_cos,0.014866779890659002,cyc
is_weekend,0.012760221312050998,cyc
evt_cat_unplanned,0.007044535287720009,evt
evt_cat_planned,0.13859321486785742,evt
log_lag1_tt_per_mile,0.29441855015796164,lag
log_lag2_tt_per_mile,0.08740097479673418,lag
log_lag3_tt_per_mile,0.02426999489076424,lag
miles,0.03485982570483891,road
reference_speed,0.056219731782817806,road
curve,0.030026125461447062,road
onramp,0.023288973196349438,road
offramp,0.025325194567260026,road
